ลำดับ,เลขทะเบียนเดิม,FID,ชื่อโรงงาน,ผู้ประกอบการ,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,โทรศัพท์,เงินทุนรวม,คนงานรวม,แรงม้า
654,3-106-40/52อย,1.014E+13,บริษัท พรหมบถ จำกัด,บริษัท พรหมบถ จำกัด,นำน้ำมันหล่อลื่นที่ใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรมเพื่อใช้เป็นน้ำมันทาแบบหล่อเสาเข็ม,เลขที่ 155,4,-,-,พยอม,วังน้อย,พระนครศรีอยุธยา,13170,035 744552-3,6400000,59,26
655,3-106-43/59อย,1.014E+13,บริษัท เอฟทีเอ (ประเทศไทย) จำกัด,บริษัท เอฟทีเอ (ประเทศไทย) จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นใช้แล้วและตัวทำละลายใช้แล้ว ทำเชื้อเพลิงผสมจากเศษผ้าปนเปื้อนน้ำมัน วัสดุดูดซับน้ำมัน ซ่อมและล้างถังด้วยตัวทำละลาย บดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์,เลขที่ 39/10,3,,,ขวัญเมือง,บางปะหัน,พระนครศรีอยุธยา,13220,089-0794471,8100000,7,56
656,3-106-47/61อย,1.014E+13,บริษัท บางปะอิน เวสต์ เมเนจเมนท์ จำกัด,บริษัท บางปะอิน เวสต์ เมเนจเมนท์ จำกัด,ผลิตเชื้อเพลิงแข็ง (SRF : Solid Recovered Fuel) จากสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายจากโรงงานอุตสาหกรรม,เลขที่ 1/34,11,เชียงรากน้อย 18,,เชียงรากน้อย,บางปะอิน,พระนครศรีอยุธยา,13180,,165000000,110,943
657,3-106-49/59อย,1.014E+13,บริษัท ขุนศึก ทรานสปอร์ต จำกัด,บริษัท ขุนศึก ทรานสปอร์ต จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันเตาปนเปื้อน,เลขที่ 126/9,1,,,อุทัย,อุทัย,พระนครศรีอยุธยา,13210,"035-951760, 094-8855987",18000000,10,972.58
658,3-106-5/56อย,1.014E+13,บริษัท ดอกกระถิน ปิโตร จำกัด,บริษัท ดอกกระถิน ปิโตร จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่น และตัวทำละลายที่ใช้แล้ว,เลขที่ 107,7,-,สามโคก-เสนา,ไม้ตรา,บางไทร,พระนครศรีอยุธยา,13190,,52150000,11,35
659,3-106-52/47อย,1.014E+13,บริษัท วังจุฬา ดีเวลลอปเมนท์ (2004) จำกัด,บริษัท วังจุฬา ดีเวลลอปเมนท์ (2004) จำกัด,"รีไซเคิลน้ำมัน ตัวทำละลาย และเคมีภัณฑ์ใช้แล้ว เพื่อเป็นพลังงานทดแทน,ซ่อมและล้างถังภาชนะบรรจุเคมีและคัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย",เลขที่ 129/52,3,-,พหลโยธิน,วังจุฬา,วังน้อย,พระนครศรีอยุธยา,13170,,6000000,15,105
660,3-106-52/63อย,1.01401E+13,ห้างหุ้นส่วนจำกัด เอ็มอาร์ เซพพาเรทเตอร์,ห้างหุ้นส่วนจำกัด เอ็มอาร์ เซพพาเรทเตอร์,ผลิตอิฐบล๊อก บล็อกประสานจากสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว  เช่น ตะกรันโลหะ ผงเหล็ก ทรายที่ใช้แล้วจากเบ้าหล่อ ฝุ่นจากระบบบำบัดอากาศ เถ้าลอยและเถ้าหนัก ตะกอนจากระบบบำบัดน้ำเสียที่ไม่เป็นของเสียอันตรายเป็นต้น และผลิตสารปรับปรุงดินจากกากตะกอนระบบบำบัดน้ำเสียเฉพาะจากอุตสาหกรรมอาหารหรือเครื่องดื่ม อุตสาหกรรมเยื้อกระดาษ และเกษตรแปรรูป และเถ้าที่เหลือจากการเผาไหม้ ถ่านกัมมันต์ที่ใช้แล้ว จากอุตสาหกรรมที่ไม่เป็นของเสียอันตราย,เลขที่ 15,2,,,สนับทึบ,วังน้อย,พระนครศรีอยุธยา,13170,,7060000,52,433
661,3-106-55/61อย,1.014E+13,บริษัท ไทยเบฟเวอเรจ รีไซเคิล จำกัด,บริษัท ไทยเบฟเวอเรจ รีไซเคิล จำกัด,บดขวดแก้วและเศษแก้ว,เลขที่ 42,4,,,พระขาว,บางบาล,พระนครศรีอยุธยา,13250,02-785-7000,34890000,8,308.7
662,3-106-66/61อย,1.014E+13,บริษัท โปรฟิท พลาสติก รีไซเคิล จำกัด,บริษัท โปรฟิท พลาสติก รีไซเคิล จำกัด,รีไซเคิลเศษยางด้วยวิธีการบดย่อย และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 1/6,7,,,บ้านช้าง,อุทัย,พระนครศรีอยุธยา,13210,,4000000,20,576
663,3-106-7/57อย,1.014E+13,บริษัท เอกอุทัย จำกัด,บริษัท เอกอุทัย จำกัด,ทำเชื้อเพลิงทดแทน ทำเชื้อเพลิงผสม ซ่อมและล้างบรรจุภัณฑ์ด้วยตัวทำละลาย นำน้ำมันหล่อเย็นที่ใช้แล้วมาผ่านกระบวนการกรองเพื่อนำกลับมาใช้ประโยชน์ใหม่ บดย่อยแผงวงจรและชิ้นส่วนอิเล็กทรอนิกส์ คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย นำสารละลายกรด-ด่างที่ใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรมเพื่อนำกลับมาใช้ประโยชน์ใหม่,เลขที่ 99,4,-,-,สามบัณฑิต,อุทัย,พระนครศรีอยุธยา,13210,035-800387,10020000,24,230
664,3-106-72/60อย,1.014E+13,บริษัท เอ็นแอนด์เจ อินเตอร์ เทรด (555) จำกัด,บริษัท เอ็นแอนด์เจ อินเตอร์ เทรด (555) จำกัด,นำน้ำมันหล่อลื่นใช้แล้วและตัวทำละลายใช้แล้วมาผสมทำเชื้อเพลิงทดแทน กลั่นตัวทำละลายใช้แล้วเพื่อนำกลับมาใช้ประโยชน์ใหม่ ผลิตไบโอดีเซลจากน้ำมันพืชใช้แล้ว ซ่อมและล้างถังด้วยตัวทำละลาย คัดแยกวัสดุทีไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 193/12,4,,,พยอม,วังน้อย,พระนครศรีอยุธยา,13170,0 3574 4531,17000000,12,205
665,3-106-74/61อย,1.014E+13,บริษัท อุทัย คลีนเอนเนอร์จี จำกัด,บริษัท อุทัย คลีนเอนเนอร์จี จำกัด,ผลิตเชื้อเพลิงแข็ง (SRF : Solid Recovered Fuel) จากสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 105,12,,,อุทัย,อุทัย,พระนครศรีอยุธยา,10240,02-0030702,165000000,110,943
666,3-106-85/60อย,1.014E+13,โรงงานผลิตเชื้อเพลิงผสม และการจัดการกากของเสีย,บริษัท วงษ์พาณิชย์ เวสท์ ทู เอ็นเนอร์จี จำกัด,"นำน้ำมันหล่อลื่นใช้แล้ว น้ำมันเครื่องเก่า น้ำมันไฮโดรลิคใช้แล้ว และสารทำละลายที่ใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรม เพื่อผลิตเป็นเชื้อเพลิงทดแทน ทำเชื้อเพลิงผสม (Blending) และเชื้อเพลิงแข็งอัดก้อนจากวัสดุที่ไม่ใช้แล้ว, บดย่อยเครื่องใช้ไฟฟ้า  และชิ้นส่วนอิเล็กทรอนิกส์ที่ไม่ใช้แล้ว, รีไซเคิลหลอดฟลูออเรสเซนต์, ซ่อมและล้างถังด้วยตัวทำละลาย, บดย่อยเศษตะกรันโลหะผสม (Solder Doss) และโลหะมีค่า รวมทั้งเก็บรวบรวมแบตเตอรี่โดยไม่มีการแปรสภาพ และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย",เลขที่ โฉนดที่ดินเลขที่ 2535,7,,,บ้านช้าง,อุทัย,พระนครศรีอยุธยา,13210,,38000000,30,986
667,3-106-87/60อย,1.014E+13,โรงงานรีไซเคิลรถยนต์,บริษัท วงษ์พาณิชย์ อินเตอร์เนชั่นแนล จำกัด,นำยานยนต์ที่ไม่ได้คุณภาพหรือที่ผ่านการใช้งานแล้ว และชิ้นส่วนยานยนต์เก่า มาแปรสภาพตามกระบวนการทางอุตสาหกรรม เพื่อผลิตเป็นวัตถุดิบ หรือผลิตภัณฑ์หรือนำกลับมาใช้ประโยชน์ใหม่ และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 2535,7,,,บ้านช้าง,อุทัย,พระนครศรีอยุธยา,13210,,11000000,25,946
668,3-106-9/49อย,1.01401E+13,บริษัท เพลิร์ธ 98 เมทัล จำกัด,บริษัท เพลิร์ธ 98 เมทัล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 198,5, -,พหลโยธิน,ลำไทร,วังน้อย,พระนครศรีอยุธยา,13170,,59000000,20,891.1
669,3-106-97/60อย,1.01401E+13,บริษัท ดี อาร์ อินเตอร์ รีไซเคิล กรุ๊ป จำกัด,บริษัท ดี อาร์ อินเตอร์ รีไซเคิล กรุ๊ป จำกัด,บดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ บดย่อยเศษตะกรันโลหะผสม (Solder Dross) สกัดโลหะที่มีค่าจากเศษชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ และเก็บรวบรวมแบตเตอรี่ใช้แล้วโดยไม่มีการแปรสภาพ,เลขที่ 54,5,,,ปากกราน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,13000,,16000000,12,80.8
670,ข3-101-1/34อย,9.16006E+13,บริษัท สวนอุตสาหกรรมโรจนะ จำกัด (มหาชน),บริษัท สวนอุตสาหกรรมโรจนะ จำกัด,"บำบัดน้ำเสียรวม ได้ 8,500 ลูกบาศก์เมตร ต่อวัน",เลขที่ ,5,โครงการสวนอุตสาหกรรมโรจนะ,โรจนะ,คานหาม,อุทัย,พระนครศรีอยุธยา,13210,035-330000,42400000,25,512
671,ข3-101-1/37อย,9.16003E+13,บริษัท สวนอุตสาหกรรมโรจนะ จำกัด (มหาชน),บริษัท สวนอุตสาหกรรมโรจนะ จำกัด (มหาชน),ปรับคุณภาพน้ำเสียรวม ได้ 4050 ลูกบาศก์เมตร/วัน,เลขที่ ,5,-,-,คานหาม,อุทัย,พระนครศรีอยุธยา,13210,035-330000-8,49500000,4,339.4
672,ข3-101-2/40อย,9.16002E+13,บริษัท สวนอุตสาหกรรมโรจนะ จำกัด (มหาชน),บริษัท สวนอุตสาหกรรมโรจนะ จำกัด (มหาชน),"บำบัดน้ำเสียรวม (บำบัดน้ำเสียได้ 6,000 ลูกบาศกเมตรต่อวัน)",เลขที่ -,9,-,-,ธนู,อุทัย,พระนครศรีอยุธยา,13210,035 330000-8,0,7,386.4
673,ข3-101-2/48อย,9.16001E+13,บริษัท โอเอ็ม เทคโนส จำกัด,บริษัท โอเอ็ม เทคโนส จำกัด,กำจัดกากของเสียอุตสาหกรรมประเภทของเหลวโดยการเผา,เลขที่ 1/91,5,สวนอุตสาหกรรมโรจนะ,,คานหาม,อุทัย,พระนครศรีอยุธยา,13210,035-227452-3,64000000,42,219
674,ข3-105-102/49อย,9.16E+13,บริษัท ไทยพัฒนาอินกอต จำกัด,บริษัท ไทยพัฒนาอินกอต จำกัด,คัดแยกเศษวัสดุอุตสาหกรรม ที่ไม่เป็นอันตราย บดพลาสติกและอัดโลหะ,เลขที่ 40/29,5,,,อุทัย,อุทัย,พระนครศรีอยุธยา,13210,,10000000,0,75
675,ข3-105-128/48อย,9.16E+13,บริษัท สยาม โอกิทานิ จำกัด,บริษัท สยาม โอกิทานิ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัดุที่ไม่ใช้แล้วตามที่กำหนดไว้ในหมวด 1 ข้อ 1ของภาคผนวกที่ 2 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541) อัอเศษโลหะ และเศษกระดาษ,เลขที่ 1/45,5, -, -,อุทัย,อุทัย,พระนครศรีอยุธยา,13210,035 719001,44981000,20,260
676,ข3-105-2/61อย,9.114E+13,บริษัท บิซซิเนส เทรดดิ้ง จำกัด,บริษัท บิซซิเนส เทรดดิ้ง จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น พลาสติก กระดาษ โลหะทั่วไป,เลขที่ 130/137,3,-,-,วังจุฬา,วังน้อย,พระนครศรีอยุธยา,13170,,4800000,10,252.5
677,ข3-105-24/57อย,9.16E+13,บริษัท สยาม พีเค พลัส จำกัด,บริษัท สยาม พีเค พลัส จำกัด,"บดย่อยชิ้นส่วนเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิกส์, สกัดโลหะมีค่าจากชิ้นส่วนอิเล็กทรอนิกส์ ฟิล์มเอกซ์เรย์ กากตะกอนที่มีองค์ประกอบของโลหะมีค่าจากอุตสาหกรรมชุบโลหะและอุตสาหกรรมอิเล็กทรอนิกส์, คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย",เลขที่ 1/9,5,,,อุทัย,อุทัย,พระนครศรีอยุธยา,13210,098-2829099,31000000,15,104.47
678,ข3-105-39/61อย,9.114E+13,บริษัท ซิโน ไทย แมททีเรียล จำกัด,บริษัท ซิโน ไทย แมททีเรียล จำกัด,"คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย, หลอมทำเม็ดพลาสติก ทำผลิตภัณฑ์จากพลาสติก เช่น เครื่องใช้ เครื่องเรือน เครื่องประดับ และชิ้นส่วนของผลิตภัณฑ์ดังกล่าว",เลขที่ 130/144-145,3,-,-,วังจุฬา,วังน้อย,พระนครศรีอยุธยา,13170,,15000000,15,914.35
679,ข3-105-53/64อย,9.16003E+13,บริษัท เอซีเอส รีซอร์สเซส จำกัด,บริษัท เอซีเอส รีซอร์สเซส จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 40/29,5,,,อุทัย,อุทัย,พระนครศรีอยุธยา,13210,61564225,5050000,7,75
680,ข3-105-65/61อย,9.114E+13,บริษัท ซีวายซี อินเตอร์เนชันแนล (ประเทศไทย) จำกัด,บริษัท ซีวายซี อินเตอร์เนชันแนล (ประเทศไทย) จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายหรือบดย่อยเศษยาง เศษพลาสติกหรือการทำพลาสติกเป็นเม็ดหรือการฉีดพลาสติกเป็นรูปทรงต่างๆ,"เลขที่ 129/49, 130/168",3,-,-,วังจุฬา,วังน้อย,พระนครศรีอยุธยา,13170,035-387976,15000000,7,681
681,ข3-106-2/51อย,9.16E+13,บริษัท สยาม โอกิทานิ จำกัด,บริษัท สยาม โอกิทานิ จำกัด,สกัดและถลุงโลหะที่มีค่าจากสารละลายที่ผ่านกระบวนการชุบ โดยกรรมวิธีทางวิศวกรรม ปรับปรุงคุณภาพนำมันหล่อลื่น ตัวทำละลายที่ใช้แล้ว เพื่อนำกลับมาใช้ประโยชน์ใหม่ นำกากตะกอนจากการชุบโลหะและกากตะกอนที่มีองค์ประกอบของโลหะมีค่ามาผ่านกระบวนการอบแห้งเพื่อส่งออก,เลขที่ 1/45,5,,,อุทัย,อุทัย,พระนครศรีอยุธยา,13210,035719001-6,112500000,0,299.01
682,ข3-106-27/54อย,9.114E+13,บริษัท แอดวานซ์ กรีน เอนไวรอนเม้นท์ (ประเทศไทย) จำกัด,บริษัท แอดวานซ์ กรีน เอนไวรอนเม้นท์(ประเทศไทย) จำกัด,"คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ทำเชื้อเพลิงทดแทนน้ำมันหล่อลื่นและตัวทำละลายที่ใช้แล้ว,บดย่อยเศษและตะกรันโลหะผสมจากการบัดกรี(Solder Dross)และชุบขาวงจรอิเล็กทรอนิกส์,บดย่อยชิ้นส่วนเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิกส์,ทำเชื้อเพลิงผสม(Blending) จากเศษผ้าปนเปื้อนน้ำมัน กากตะกอนน้ำมัน กากกาว วัสดุดูดซับ,ซ่อมและล้างบรรจุภัณฑ์ด้วยตัวทำละลาย,ทำเม็ดพลาสติกเกรดบี",เลขที่ 129/37-38,3,-,-,วังจุฬา,วังน้อย,พระนครศรีอยุธยา,13170,891587111,35000000,15,86
683,ข3-106-48/60อย,9.16E+13,บริษัท เคมโทรนิคส์ โปรดักส์ จำกัด,บริษัท เคมโทรนิคส์ โปรดักส์ จำกัด,นำสารทำละลายประเภทกรด ด่าง และสารละลายที่มีองค์ประกอบของโลหะมาผ่านกระบวนการทางอุตสาหกรรม เพื่อสกัดโลหะกลับมาใช้ใหม่ เช่น Copper Oxide และ Copper Sulfate,"เลขที่ 1/97, 1/98",5,,-,คานหาม,อุทัย,พระนครศรีอยุธยา,13210,035719674-6,65500000,14,2243.25
684,ข3-106-5/50อย,9.16001E+13,บริษัท เคมโทรนิคส์ เทคโนโลยี (ประเทศไทย) จำกัด,บริษัท เคมโทรนิคส์ เทคโนโลยี (ประเทศไทย) จำกัด,นำสารละลายประเภทกรดด่าง และสารละลายที่มีองค์ประกอบของแร่โลหะผ่านกระบวนการทางวิศวกรรมเพื่อสกัดแร่โลหะกลับมาใช้ใหม่,เลขที่ 1/28,5,,,คานหาม,อุทัย,พระนครศรีอยุธยา,13210,086-307-1678,30000000,25,1825.15
685,ข3-106-64/60อย,9.16E+13,บริษัท ซี.เอ็น.เอส.ที. จำกัด,บริษัท ซี.เอ็น.เอส.ที. จำกัด,นำน้ำมันหล่อลื่นที่ใช้แล้วและตัวทำละลายใช้แล้วมาผสมทำเชื้อเพลิงทดแทน กลั่นตัวทำละลายใช้แล้วนำกลับมาใช้ประโยชน์ใหม่ ผลิตไบโอดีเซลจากน้ำมันพืชที่ใช้แล้ว ซ่อมและล้างถังด้วยตัวทำละลาย คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษกระดาษ เศษพลาสติก เศษไม้ เศษยาง เศษเหล็ก และโลหะต่างๆ เก็บรวบรวมแบตเตอรี่โดยไม่มีการแปรสภาพ,เลขที่ ,5,-,-,คานหาม,อุทัย,พระนครศรีอยุธยา,13210,086-3599628,20000000,10,480
686,จ3-101-1/40อย,2.01413E+13,บริษัท บ้านแพน เอ็นจิเนียริ่ง แอนด์ โฮลดิ้ง จำกัด,บริษัท บ้านแพน เอ็นจิเนียริ่ง แอนด์ โฮลดิ้ง จำกัด,กำจัดกากอุตสาหกรรม,เลขที่ -,9,,สามโคก - เสนา,บางนมโค,เสนา,พระนครศรีอยุธยา,13110,201820-1,25384000,24,106.02
687,จ3-105-103/51อย,2.014E+13,ห้างหุ้นส่วนจำกัด จันทร์ทิพย์ รีไซเคิล,ห้างหุ้นส่วนจำกัด จันทร์ทิพย์ รีไซเคิล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นอันตราย บดย่อยพลาสติก,เลขที่ 70,6,,,ตาลาน,ผักไห่,พระนครศรีอยุธยา,13120,098-3928795,8000000,14,75
688,จ3-105-122/52อย,2.014E+13,บริษัท ทวีทรัพย์ (จิวแจ๊ะเฮง) จำกัด,บริษัท ทวีทรัพย์ (จิวแจ๊ะเฮง) จำกัด,คัดแยกเศษแก้ว,เลขที่ 19,9,-,-,บ้านหีบ,อุทัย,พระนครศรีอยุธยา,13210,-,40912500,94,102.4
689,จ3-105-125/50อย,2.014E+13,บริษัท ช.อโยธยารื้อถอนและก่อสร้าง จำกัด,บริษัท ช.อโยธยารื้อถอนและก่อสร้าง จำกัด,"คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย อัดเศษโลหะ, บดย่อยพลาสติก, อัดกระดาษ",เลขที่ 40/7,5,,,บ้านชุ้ง,นครหลวง,พระนครศรีอยุธยา,13260,083-7782929,7300000,12,90
690,จ3-105-161/50อย,2.014E+13,บริษัท กิจสมุทร สตีล รีไซเคิล จำกัด,บริษัท กิจสมุทร สตีล รีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย อัดเศษโลหะ อัดเศษกระดาษ และบดพลาสติก,เลขที่ 31,12,,,อุทัย,อุทัย,พระนครศรีอยุธยา,13210,035-356499,4700000,15,85
691,จ3-105-179/50อย,2.014E+13,เค.ซี.พลาสติก,นายยงยุทธ เอมนฤมล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย และบดย่อยพลาสติก,เลขที่ 17/5,10,,,ปากกราน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,13000,087-3681345,1450000,52,4.5
692,จ3-105-200/50อย,2.014E+13,บริษัท ลิ้ม อิม หลี (2550) จำกัด,บริษัท ลิ้ม อิม หลี (2550) จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย อัดเศษโลหะ อัดเศษกระดาษ และบดพลาสติก,เลขที่ 66,3,,,บ้านใหม่,มหาราช,พระนครศรีอยุธยา,13150,089-9001419,10700000,15,168
693,จ3-105-4/52อย,2.01404E+13,บริษัท วงษ์พาณิชย์ อินเตอร์เนชั่นแนล จำกัด,บริษัท วงษ์พาณิชย์ อินเตอร์เนชั่นแนล จำกัด,"คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ซ่อมแซมเครื่องจักร อุปกรณ์ไฟฟ้า และอิเล็กทรอนิกส์ เช่น เครื่องคอมพิวเตอร์,เครื่องโทรสาร,เครื่องถ่ายเอกสาร บดย่อยพลาสติกและผลิตเม็ดพลาสติก",เลขที่ 1/4,7,-,-,บ้านช้าง,อุทัย,พระนครศรีอยุธยา,13210,098-9982923,80000000,60,495.68
694,จ3-105-40/50อย,2.014E+13,นางสาวกมลทิพย์ หอมขจร,นางสาวกมลทิพย์ หอมขจร,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย บดย่อยพลาสติก อัดเศษกระดาษ และรีดลวดโลหะ ,เลขที่ 9,4,,,แก้วฟ้า,บางซ้าย,พระนครศรีอยุธยา,13270,,8500000,9,115
695,จ3-105-53/51อย,2.014E+13,ห้างหุ้นส่วนจำกัด พระประแดงค้าของเก่า,ห้างหุ้นส่วนจำกัด พระประแดงค้าของเก่า,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย เช่น เศษโลหะ กระดาษ พลาสติก ไม้ เศษยางไม่ปนเปื้อน เศษแก้ว,เลขที่ -,2,,พหลโยธิน,ชะแมบ,วังน้อย,พระนครศรีอยุธยา,13170,02-463116-7,3000000,52,0
696,จ3-105-78/51อย,2.014E+13,ห้างหุ้นส่วนจำกัด ซ.ประเสริฐ (เอเซีย),ห้างหุ้นส่วนจำกัด ซ.ประเสริฐ (เอเซีย),คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย ซ่อมแซมเครื่องจักร อุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ทุกชนิด เช่น เครื่องคอมพิวเตอร์ เครื่องถ่ายเอกสาร เครื่องโทรสาร เป็นต้น,เลขที่ 82/3,5,-,-,บางนางร้า,บางปะหัน,พระนครศรีอยุธยา,13220,"063,1532865, 095-6456454",10000000,52,41.24
697,จ3-105-79/51อย,2.014E+13,ห้างหุ้นส่วนจำกัด มังกร รีไซเคิล,ห้างหุ้นส่วนจำกัด มังกร รีไซเคิล,คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตรายและบดย่อยพลาสติก,เลขที่ 44/3,5,-,-,หนองไม้ซุง,อุทัย,พระนครศรีอยุธยา,13210,081-8534067,9700000,18,410
698,จ3-105-88/52อย,2.014E+13,บริษัท แก้วกรุงไทย จำกัด,บริษัท แก้วกรุงไทย จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,เลขที่ 8,2,-,-,ลำไทร,วังน้อย,พระนครศรีอยุธยา,13170,035-287101-5,36700000,25,163
699,จ3-105-96/51อย,2.014E+13,บริษัท รวยเจริญ สแครป จำกัด,บริษัท รวยเจริญ สแครป จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย ซ่อมแซมเครื่องจักร อุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ทุกชนิด เช่น เครื่องคอมพิวเตอร์ เครื่องถ่ายเอกสาร เครื่องโทรสาร เป็นต้น,เลขที่ 41/1,5,,บ้านหีบ - ภาชี,เสนา,อุทัย,พระนครศรีอยุธยา,13210,035-200600,16000000,20,237.24
700,น.105-1/2547-ญบว.,7.212E+13,บริษัท มีเทค รีไซเคิล (ประเทศไทย) จำกัด,บริษัท มีเทค รีไซเคิล (ประเทศไทย) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วซึ่งไม่เป็นของเสียอันตราย(ตามภาคผนวกที่2ของประกาศกระทรวงอุตสาหกรรมเรื่องการกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วพ.ศ.2548)บดอัดเศษโลหะเศษพลาสติกและนำชิ้นส่วนอิเล็กทรอนิกส์ที่ไม่ใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรมผลิตเป็นวัตถุดิบเพื่อ,เลขที่ 108,1,,สายเอเซีย,บ้านเลน,บางปะอิน,พระนครศรีอยุธยา,13160,035-314-364-5,0,15,181
701,น.105-1/2552-ญบอ.,7.213E+13,บริษัท แอ๊คคอมพลิช เวย์ โฮลดิ้ง จำกัด,บริษัท แอ๊คคอมพลิช เวย์ โฮลดิ้ง จำกัด,สร้างอาคารโรงงานสำนักงานให้เช่าหรือขาย,เลขที่ 342,2,-,อุดมสรยุทธ,คลองจิก,บางปะอิน,พระนครศรีอยุธยา,13160,035258152-5,0,0,0
